Symbol	MIIoocyte_FPKM	zygote_FPKM	early2cell_FPKM	2-cell_FPKM	4-cell_FPKM	8-cell_FPKM	ICM_FPKM	mESC_FPKM
Mrpl15	0.893364	1.18928	1.55579	2.24897	14.261	7.2677	12.3398	6.80187
Lypla1	75.5756	105.78	75.8497	47.2164	79.2996	154.975	130.008	207.678
Tcea1	152.174	67.2143	60.9595	58.8027	71.2645	66.3257	25.1971	66.9802
Atp6v1h	194.573	143.25	82.8348	41.8227	54.0258	52.835	119.409	121.554
Oprk1	0.512571	0.532646	0.274885	0.168673	0	0	0.0194952	0
Rb1cc1	13.1098	13.3279	6.91348	79.6117	106.285	157.86	5.27039	7.314
Fam150a	0	0	0	0	0	0	0	0
St18	1.52926	0.879866	0.559941	0.183693	0.129395	0.014567	0.0169302	0
Pcmtd1	3.49928	2.04937	3.44694	4.33803	1.62291	2.76185	9.85407	1.11104
Rrs1	0	0.0367665	0.567035	11.8499	9.04763	11.74	6.78533	20.1492
Adhfe1	2.22703	1.76584	3.04431	1.26544	0.128678	0.0841184	0.445057	0.0589889
3110035E14Rik	0	0.0282771	0	0	0	0.146904	0	0
1700034P13Rik	0.270017	0.351986	0.409901	0	0.0777758	0.266265	1.55882	0
Sgk3	0.907271	0.647284	4.72967	26.6802	80.3146	127.588	14.129	4.22396
Mcmdc2	0	0.0379407	0.096187	0.135417	0.151519	0.242779	3.73571	0.463906
Cspp1	1.95087	1.65963	1.16071	3.06197	5.34545	4.79964	6.25854	6.60184
Prex2	26.8965	20.9944	12.4131	2.53656	0.67051	0.409189	0.488293	0.398867
A830018L16Rik	1.78126	4.36566	2.76348	0.770063	0.170161	0.0277114	1.29066	0.0743656
Gm17644	0	0	0	0	0	0	0.0808365	0
Sulf1	0.55276	0.313019	0.420299	0.0370795	0	0.0232229	1.24795	9.81207
Xkr9	0.0720873	0.071414	0.154865	1.49051	10.0153	13.9935	1.42154	0
Kcnb2	0.205325	0.123406	0.0309369	0.0728612	0	0.00785592	0.00968716	0
Terf1	16.9486	110.804	27.0536	71.7028	57.7134	95.8339	119.195	138.283
Rdh10	17.8753	33.887	29.611	23.8196	26.4946	21.3551	7.10475	0.347098
D030040B21Rik	0.455737	0.101246	0.306004	0.883658	0.975816	0.373012	0	0
Tmem70	35.878	49.6499	29.2688	52.088	134.848	173.948	157.715	81.6666
Ly96	1.3958	2.36668	1.9341	12.144	24.2977	39.0799	42.3836	0
Gdap1	97.1857	143.217	76.671	65.1414	23.4443	5.49049	0.434466	0
Pi15	0	0.00625572	0	0.0339017	0	0	0.0786758	0
Crispld1	0.402805	0.117184	0.0285724	0.0543324	0	0	0.0245763	0.108746
Tfap2d	0.121356	0.0274904	0.205367	0	0.0958791	0	0	0
Tfap2b	3.60923	2.29832	1.66036	0.483271	0	0.0348002	0.0353361	0
4930486I03Rik	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0
Paqr8	0.20369	0.189675	0.296623	0	0	0	0	0.0735994
Efhc1	0.495463	1.03004	0.672436	0	0	0	0	0.258638
